;index;country_code;medals
0;0;AFG;0.021428571
1;4;ALG;0.028571429
2;8;ARG;0.317857143
3;12;ARM;0.619642857
4;16;AUS;10.96785714
5;20;AUT;0.953571429
6;24;AZE;1.328571429
7;28;BAH;0.042857143
8;32;BDI;0.025
9;36;BEL;0.582142857
10;40;BLR;1.167857143
11;44;BOT;0.067857143
12;48;BRA;5.592857143
13;52;BRN;0.107142857
14;60;BUL;0.310714286
15;64;CAN;5.773214286
16;68;CHI;0.035714286
17;72;CHN;23.51964286
18;76;CIV;0.057142857
19;80;CMR;0.021428571
20;84;COL;1.123214286
21;88;CRO;0.928571429
22;92;CUB;1.514285714
23;96;CYP;0.042857143
24;100;CZE;1.548214286
25;104;DEN;1.683928571
26;108;DOM;0.955357143
27;112;ECU;0.107142857
28;116;EGY;0.692857143
29;120;ERI;0.032142857
30;124;ESP;4.989285714
31;128;EST;0.082142857
32;132;ETH;0.292857143
33;136;FIJ;0.053571429
34;140;FIN;0.246428571
35;144;FRA;8.666071429
36;148;GAB;0.032142857
37;152;GBR;17.96964286
38;156;GEO;2.026785714
39;160;GRN;0.075
40;164;GUA;0.021428571
41;168;HKG;0.894642857
42;172;HUN;4.901785714
43;176;INA;0.553571429
44;180;IND;2.164285714
45;184;IRI;0.619642857
46;188;IRL;0.239285714
47;192;ISL;0.042857143
48;196;ISR;0.042857143
49;200;ITA;10.80714286
50;204;JAM;0.776785714
51;208;JOR;0.135714286
52;212;JPN;12.70178571
53;216;KAZ;1.901785714
54;220;KEN;1.273214286
55;224;KGZ;0.441071429
56;228;KOR;0.875
57;232;KSA;0.396428571
58;236;LTU;0.146428571
59;240;MAR;0.035714286
60;244;MDA;0.071428571
61;248;MEX;1.067857143
62;252;MRI;0.042857143
63;256;NED;9.619642857
64;260;NGR;0.135714286
65;264;NIG;0.025
66;268;NOR;0.626785714
67;272;NZL;3.975
68;276;PAN;0.035714286
69;280;PAR;0.028571429
70;284;PHI;0.448214286
71;288;POL;2.678571429
72;292;POR;0.310714286
73;296;PRK;0.035714286
74;300;PUR;0.042857143
75;304;QAT;0.067857143
76;308;ROU;0.728571429
77;312;RUS;20.075
78;316;SUD;0.025
79;318;SUI;2.526785714
80;322;SVK;0.4625
81;326;SWE;2.4
82;330;SYR;0.064285714
83;334;THA;0.114285714
84;338;TOG;0.025
85;342;TTO;0.039285714
86;346;TUN;0.107142857
87;350;TUR;3.0125
88;354;UAE;0.042857143
89;358;UGA;0.125
90;362;UKR;5.9125
91;366;USA;20.40714286
92;370;UZB;0.228571429
93;374;VEN;0.728571429
94;378;ZIM;0.032142857
